Year,Sunday Cycle,Weekday Cycle,Weeks of O.T. before Lent*,Ash Wednesday,Easter Sunday,Pentecost Sunday,Week of O.T. after Pentecost*,First Sunday of Advent,Christmas Day
2024,B,II,6,Feb-14,Mar-31,May-19,7,Dec-01,Wednesday
2025,C,I,8,Mar-05,Apr-20,Jun-08,10,Nov-30,Thursday
2026,A,II,6,Feb-18,Apr-05,May-24,8,Nov-29,Friday
2027,B,I,5,Feb-10,Mar-28,May-16,7,Nov-28,Saturday
2028,C,II,8,Mar-01,Apr-16,Jun-04,9,Dec-03,Monday
2029,A,I,6,Feb-14,Apr-01,May-20,7,Dec-02,Tuesday
2030,B,II,8,Mar-06,Apr-21,Jun-09,10,Dec-01,Wednesday
2031,C,I,7,Feb-26,Apr-13,Jun-01,9,Nov-30,Thursday
2032,A,II,5,Feb-11,Mar-28,May-16,7,Nov-28,Saturday
2033,B,I,8,Mar-02,Apr-17,Jun-05,10,Nov-27,Sunday
2034,C,II,7,Feb-22,Apr-09,May-28,8,Dec-03,Monday
2035,A,I,5,Feb-07,Mar-25,May-13,6,Dec-02,Tuesday
2036,B,II,7,Feb-27,Apr-13,Jun-01,9,Nov-30,Thursday
2037,C,I,6,Feb-18,Apr-05,May-24,8,Nov-29,Friday
2038,A,II,9,Mar-10,Apr-25,Jun-13,11,Nov-28,Saturday
2039,B,I,7,Feb-23,Apr-10,May-29,9,Nov-27,Sunday
2040,C,II,6,Feb-15,Apr-01,May-20,7,Dec-02,Tuesday
2041,A,I,8,Mar-06,Apr-21,Jun-09,10,Dec-01,Wednesday
2042,B,II,6,Feb-19,Apr-06,May-25,8,Nov-30,Thursday
2043,C,I,5,Feb-11,Mar-29,May-17,7,Nov-29,Friday
2044,A,II,8,Mar-02,Apr-17,Jun-05,10,Nov-27,Sunday
2045,B,I,7,Feb-22,Apr-09,May-28,8,Dec-03,Monday
2046,C,II,5,Feb-07,Mar-25,May-13,6,Dec-02,Tuesday
2047,A,I,7,Feb-27,Apr-14,Jun-02,9,Dec-01,Wednesday
2048,B,II,6,Feb-19,Apr-05,May-24,8,Nov-29,Friday
2049,C,I,8,Mar-03,Apr-18,Jun-06,10,Nov-28,Saturday
2050,A,II,7,Feb-23,Apr-10,May-29,9,Nov-27,Sunday
2051,B,I,6,Feb-15,Apr-02,May-21,7,Dec-03,Monday
2052,C,II,9,Mar-06,Apr-21,Jun-09,10,Dec-01,Wednesday
2053,A,I,6,Feb-19,Apr-06,May-25,8,Nov-30,Thursday
2054,B,II,5,Feb-11,Mar-29,May-17,7,Nov-29,Friday
2055,C,I,8,Mar-03,Apr-18,Jun-06,10,Nov-28,Saturday
2056,A,II,6,Feb-16,Apr-02,May-21,7,Dec-03,Monday
2057,B,I,9,Mar-07,Apr-22,Jun-10,10,Dec-02,Tuesday
2058,C,II,7,Feb-27,Apr-14,Jun-02,9,Dec-01,Wednesday
2059,A,I,5,Feb-12,Mar-30,May-18,7,Nov-30,Thursday
2060,B,II,8,Mar-03,Apr-18,Jun-06,10,Nov-28,Saturday
2061,C,I,7,Feb-23,Apr-10,May-29,9,Nov-27,Sunday
2062,A,II,5,Feb-08,Mar-26,May-14,6,Dec-03,Monday
2063,B,I,8,Feb-28,Apr-15,Jun-03,9,Dec-02,Tuesday
2064,C,II,6,Feb-20,Apr-06,May-25,8,Nov-30,Thursday
2065,A,I,5,Feb-11,Mar-29,May-17,7,Nov-29,Friday
2066,B,II,7,Feb-24,Apr-11,May-30,9,Nov-28,Saturday
2067,C,I,6,Feb-16,Apr-03,May-22,8,Nov-27,Sunday
2068,A,II,9,Mar-07,Apr-22,Jun-10,10,Dec-02,Tuesday
2069,B,I,7,Feb-27,Apr-14,Jun-02,9,Dec-01,Wednesday
2070,C,II,5,Feb-12,Mar-30,May-18,7,Nov-30,Thursday
2071,A,I,8,Mar-04,Apr-19,Jun-07,10,Nov-29,Friday
